category	title	review
Kitchen	Bodum Travel Press 12-Ounce French Press Coffeemaker, Black	Great!
Kitchen	RH Forschner by Victorinox BladeSafe for Knife Blades	It fit perfectly on my new<br />Victorinox Fibrox 8-Inch Chef's Knife .
Kitchen	Bellemain 12-Cup Nonstick Madeleine Pan	Excellent pan - my daughter just made madeleines - yum!
Jewelry	8mm Heat Treated Agate Beads Tibetan Buddhist Prayer Meditation 108 Mala Necklace	not the good one  but not bad
Jewelry	"2.50 Ct Oval Black Onyx 925 Sterling Silver Pendant Earrings Set with 18"" Chain"	This is a rip off. It only comes with this necklace and is very tiny
Kitchen	Norpro Stainless Steel Grease Catcher/Strainer	I have been using this for the last few weeks and I love it!
Jewelry	Meily® Tribal Ethnic Coin Tassel Gypsy Festival Turkish Beach Anklet	Love it!
Kitchen	Food & Wine For Gorham Modern Farmhouse 16-Piece Dinnerware Set, Dusk	Beautiful!
Kitchen	Mr. Coffee Single Serve Coffee Brewer Powered by Keurig Brewing Technology	It is easy to use the single serve coffee brewer and we are enjoying coffee being made quickly. The brewer met our expectation's.
Jewelry	Tibet Silver Diamante Heart Acrylic Beads Neon Eardrop Stud Earrings	just as shown and already got a lot of comments on them
Jewelry	Blue and Gold-tone Stripe of Waves Glass Bead Sterling Silver Core For European Charm Bracelets	Nicer than that picture! Very pretty!
Jewelry	Silver-tone Cross With Caduceus Emblem Nurse Pen - Perfect Nurse Gift	I have several Cross pens and they are a smooth writing, long lasting instrument. This particular pen is a gift.
Kitchen	Keurig K450 Brewing System, Black	Love this coffee maker. I have had one of the original models for years and decided to upgrade and donated my old one to work.  The added features on the 400 series like the strong option and carafe are awesome.  The light in the reservoir is a cool bonus, works great as a night light.  Thanks, Keurig, for the free pods for this review.
Jewelry	KONOV Men's Wide Stainless Steel Rubber Bangle Bracelet, Blue Silver	I ordered 3 pieces of jewelry from here and they all are great pieces. Only thing about this particular piece is that its just a tad bit too big but not big enough to slide off my wrist at any time.. so still a great piece!!
Kitchen	Big Balls 4 Pack Large Silicone Ice Ball Mold	Exactly what I was looking for!  First time, left a little too much room for the ice expansion, but after that - perfect ice balls every time!
Kitchen	Nostalgia SCC399 48-Inch Snow Cone Cart	Works as expected.
Kitchen	Fred & Friends COOL SHOOTERS Shot Glass Mold	Worked perfectly and as advertised.
Jewelry	Tzou Vintage Tibetan Silver Ethnic Gothic Oval Turquoise Inlay Wide Bangle Women	Did not like
Jewelry	Yazilind Jewelry Charms Design Crystal Inlay Anchor Shape Silver Plated Mini Stud Earrings	perfect!
Kitchen	Veggetti Spiral Vegetable Slicer, Makes Veggie Pasta	With arthritis, really hard for me to use.
Kitchen	Zippo Butane Fuel, 3 Pack	Good value. And According to Zippo quality!
Kitchen	Bartelli Soft Edge Automatic Electric Can Opener - Blue	[[VIDEOID:70222cbf9d5b236177117b19f391038e]]After many years our electric can opener had died. We had a manual one as a backup, but we both had so much trouble trying to get it to work, that we tried another one.  My fiance can get the newer manual one to work but I can't, I have to squeeze so hard that it hurts my wrist.  When I saw that Bartelli was looking for reviewers of their Soft Edge Automatic Can Opener, I applied right away.<br /><br />Thankfully they selected me and provided me with an Amazon code to order the blue version for free.  When it arrived I quickly ran to the store to get some AAA batteries which are not included so I could test it out.<br /><br />At first I was making it out to be harder than it really was.  You simply mount the can opener on the can, press the button to turn on, let can opener swivel around the can, press the button again to turn off the can opener when it has made a complete circle.  Because the can stays flat on the counter, I don't have to worry about any contents spilling out, especially on larger cans like when I used a stand up electric can opener.<br /><br />I love that this design doesn't take up much space, and can be stored in a drawer.  Our counter  space is very limited so not having to plug this can opener in makes prepping meals at the kitchen table a  breeze.<br /><br />This product cuts around the side of the can to eliminate sharp and dangerous edges, creating an easily re-sealable lid with a smooth edge. That makes it easy to keep food covered while preparing a meal.<br /><br />This is perfect for those with carpal tunnel issues, arthritis or any other hand pain, as it requires no manual labor.
Jewelry	Charm.L Grace Jewelry Vintage Alloy Flowers Collar Necklace Earrings Set	On point
Jewelry	Gay Rainbow Sisters Gay Pride Leather Bracelet Wristlet	I like the fit and the colors. They are not faded. Its well made and I think its pretty durable. The only hing i dislike is the left over string where they finished tying it. It sticks out and the string is coming undone. It doesnt affect the bracelet though because it cant undo itself more than where they tied it.
Kitchen	"Vegetable Peeler, Ergonomic Pressure Absorbing Handle, Stainless Steel Blade, Modern Super ""Y"" Pro, Red"	This is the best vegetable peeler I have used so far. I like its handle...great design! I got the red one. It stands out among the black and stainless kitchen product I have. Above all, the blade is sharp and it peels really thin. Very happy with this product.
Kitchen	Biscuit Sheet	my second pan like this.  It has a lid that goes with it.
Jewelry	BodyJ4You Professional Body Piercing Kit (Belly Button,Tongue, Eyebrow, Nipple, Lip, Nose) 14G Needles	Everything was very well packages, and clean. However I got the wrong size needles! I got 16G needles with 14G rings. I could not do the piercing, I tried and it caused lists of pain from the different sizes.
Jewelry	JC128 Flower Earrings, Starfish Earrings, Faux Diamond Embellished Earrings	So cheaply made that the stones fell out before they even got to my house.
Kitchen	Crock-Pot Crock-Pot 20-Ounce Lunch Crock Food Warmer, Black/Blue,  1, Black/Blue	Loved my little Crockpot for work. Used it only a few times, but my food comes out great with all its juices.
Kitchen	T-fal A90996 Specialty Stainless Steel Double Boiler with Phenolic Handle Cookware	Did not. Order
Jewelry	Tomas Sterling Silver Crystal Stud Earrings - Pacific Opal	Very pretty! Love this stone!
Kitchen	Wusthof Gourmet Offset Slotted Spatula, 6-1/2-Inch	Nice offset slotted spatula
Kitchen	Delonghi EMK6 Alicia Electric Moka Espresso Coffee Maker	thought is was bigger
Kitchen	Joseph Joseph Twist 2-in-1 Silicone Whisk	It's a bit flimsy when you turn it out to be a traditional style wisk , but I love it as a flat wisk!
Kitchen	Bakelicious 72830 Christmas Barkitecture Chocolate Mold, Silicone	These are fabulous,  I absolutely love them.  They much better and easy to assemble then the stupid cardboard things that Wilton company sells.
